,Aluekoodi,Alue,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
30,150,Meilahti,9436.0,9185.0,8896.0,8724.0,8517.0,8400.0,8175.0,7963.0,7575.0,7397.0,7240.0,7118.0,6765.0,6443.0,6205.0,6001.0,5999.0,5846.0,5668.0,5576.0,5535.0,5441.0,5304.0,5254.0,5139.0,5073.0,5044.0,4884.0,4811.0,4733.0,4696.0,4668.0,4815.0,4915.0,4983.0,5146.0,5721.0,6724.0,6980.0,6935.0,6856.0,6792.0,6726.0,6657.0,6697.0,6709.0,6738.0,6848.0,6858.0,6896.0,6968.0,5013.0,5023.0,5062.0,5091.0,5109.0,5111.0,5146.0,5198.0,5142.0,5054.0,5223.0
31,160,Ruskeasuo (vuoteen 2012),3995.0,3942.0,3984.0,3923.0,3843.0,3833.0,3751.0,3678.0,3606.0,3623.0,3540.0,3473.0,3329.0,3290.0,3221.0,3118.0,3021.0,2923.0,2830.0,2730.0,2741.0,2679.0,2606.0,2562.0,2590.0,2615.0,2548.0,2453.0,2904.0,3288.0,3868.0,4386.0,4803.0,5989.0,6519.0,6885.0,7046.0,7050.0,6964.0,6970.0,6925.0,6810.0,6694.0,6652.0,6763.0,6894.0,6922.0,7027.0,7023.0,7049.0,7123.0,,,,,,,,,,,
32,161,Vanha Ruskeasuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2792.0,2803.0,2911.0,3000.0,2967.0,2963.0,2990.0,2992.0,2908.0,2888.0,2798.0
33,162,Pikku Huopalahti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7350.0,7270.0,7319.0,7373.0,7342.0,7341.0,7290.0,7260.0,7023.0,6852.0,6706.0
34,180,Laakso,3644.0,3587.0,3481.0,3389.0,3221.0,3123.0,3084.0,3006.0,2936.0,2818.0,2761.0,2685.0,2582.0,2498.0,2436.0,2369.0,2337.0,2167.0,2198.0,1991.0,2005.0,1984.0,1910.0,1858.0,1845.0,1814.0,1784.0,1776.0,1818.0,1804.0,1802.0,1818.0,1781.0,1773.0,1833.0,1830.0,1855.0,1858.0,1831.0,1810.0,1823.0,1849.0,1797.0,1781.0,1786.0,1770.0,1765.0,1795.0,1821.0,1850.0,1876.0,1860.0,1886.0,1916.0,1941.0,1988.0,1986.0,2060.0,2090.0,2028.0,1973.0,1929.0
35,202,Munkkiniemi,21578.0,22788.0,22457.0,22758.0,22245.0,21886.0,22408.0,22588.0,22536.0,21971.0,21594.0,21303.0,20744.0,20177.0,19670.0,19230.0,18712.0,18345.0,18097.0,17759.0,17246.0,16978.0,16928.0,16598.0,16425.0,16445.0,16215.0,15985.0,15637.0,15877.0,15765.0,15934.0,16839.0,16976.0,17181.0,17061.0,17245.0,17356.0,17369.0,17339.0,17339.0,17227.0,17094.0,16999.0,17004.0,17020.0,16942.0,17082.0,17328.0,17348.0,17412.0,17334.0,17522.0,17624.0,17629.0,17712.0,17982.0,17948.0,18245.0,18652.0,18844.0,18933.0
36,301,Vanha Munkkiniemi,12400.0,12704.0,12275.0,12359.0,11953.0,11544.0,11716.0,11646.0,11294.0,10946.0,10844.0,10678.0,10359.0,10075.0,9852.0,9631.0,9390.0,9217.0,9170.0,8834.0,8681.0,8512.0,8407.0,8159.0,8022.0,8039.0,7984.0,7840.0,7675.0,7940.0,8005.0,7976.0,8167.0,8218.0,8254.0,8165.0,8232.0,8302.0,8338.0,8312.0,8397.0,8323.0,8353.0,8322.0,8328.0,8327.0,8225.0,8244.0,8438.0,8494.0,8504.0,8446.0,8469.0,8507.0,8524.0,8569.0,8848.0,8818.0,9122.0,9274.0,9212.0,9280.0
37,302,Kuusisaari,177.0,,153.0,126.0,229.0,256.0,271.0,303.0,299.0,297.0,289.0,302.0,340.0,360.0,359.0,351.0,334.0,333.0,324.0,337.0,342.0,349.0,372.0,381.0,391.0,428.0,433.0,425.0,432.0,444.0,457.0,449.0,444.0,405.0,404.0,399.0,456.0,469.0,452.0,467.0,468.0,464.0,472.0,455.0,473.0,532.0,558.0,560.0,538.0,544.0,563.0,545.0,538.0,558.0,556.0,556.0,538.0,524.0,551.0,568.0,575.0,613.0
38,303,Lehtisaari,,,6.0,6.0,24.0,249.0,800.0,1081.0,1309.0,1321.0,1278.0,1367.0,1350.0,1310.0,1268.0,1213.0,1194.0,1180.0,1169.0,1149.0,1107.0,1067.0,1173.0,1158.0,1145.0,1138.0,1129.0,1131.0,1097.0,1098.0,1060.0,1026.0,1050.0,1035.0,1073.0,1063.0,1144.0,1167.0,1177.0,1160.0,1123.0,1152.0,1142.0,1135.0,1160.0,1179.0,1148.0,1144.0,1155.0,1174.0,1160.0,1148.0,1125.0,1138.0,1098.0,1143.0,1184.0,1243.0,1225.0,1215.0,1199.0,1224.0
39,304,Munkkivuori,9001.0,10084.0,8912.0,8786.0,8595.0,8422.0,8224.0,8008.0,7872.0,7590.0,7333.0,7067.0,6819.0,6597.0,6379.0,6261.0,6092.0,5914.0,5786.0,5823.0,5509.0,5462.0,5409.0,5317.0,5284.0,5277.0,5127.0,5100.0,5011.0,4960.0,4886.0,5148.0,5847.0,5994.0,6142.0,6147.0,6140.0,6147.0,4823.0,4808.0,4810.0,4723.0,4637.0,4607.0,4616.0,4573.0,4615.0,4698.0,4753.0,4701.0,4771.0,4751.0,4915.0,4949.0,5014.0,5026.0,5019.0,4902.0,4937.0,5048.0,4958.0,4910.0
40,305,Niemenmäki,,,1111.0,1481.0,1444.0,1415.0,1397.0,1550.0,1762.0,1817.0,1850.0,1889.0,1876.0,1835.0,1812.0,1774.0,1702.0,1701.0,1648.0,1616.0,1607.0,1588.0,1567.0,1583.0,1583.0,1563.0,1542.0,1489.0,1422.0,1435.0,1357.0,1335.0,1331.0,1324.0,1308.0,1287.0,1273.0,1271.0,1258.0,1258.0,1269.0,1287.0,1226.0,1254.0,1238.0,1224.0,1230.0,1261.0,1264.0,1280.0,1276.0,1307.0,1317.0,1317.0,1311.0,1275.0,1274.0,1346.0,1298.0,1465.0,1829.0,1823.0
41,306,Talinranta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321.0,1334.0,1272.0,1278.0,1264.0,1226.0,1189.0,1185.0,1166.0,1175.0,1180.0,1155.0,1138.0,1137.0,1158.0,1155.0,1126.0,1143.0,1119.0,1115.0,1112.0,1082.0,1071.0,1083.0
42,203,Haaga,27603.0,29071.0,29510.0,29835.0,29681.0,29701.0,29616.0,29157.0,28658.0,28092.0,27606.0,27688.0,28189.0,27343.0,26916.0,26712.0,26223.0,26925.0,26929.0,27188.0,27808.0,27898.0,27807.0,27872.0,27556.0,27836.0,27362.0,26940.0,26401.0,26365.0,27005.0,26812.0,26780.0,26823.0,26916.0,27049.0,26994.0,26650.0,26468.0,26340.0,26231.0,25940.0,25913.0,25435.0,25424.0,25672.0,25705.0,25807.0,25908.0,26433.0,26806.0,25758.0,26126.0,26539.0,26771.0,27392.0,27606.0,27761.0,27641.0,27714.0,27612.0,27161.0
43,291,Etelä-Haaga,14313.0,15427.0,15950.0,16553.0,16665.0,16869.0,16829.0,16564.0,16350.0,16115.0,15648.0,15356.0,14917.0,14514.0,14008.0,13724.0,13425.0,13168.0,13012.0,12696.0,12565.0,12414.0,12220.0,12045.0,11823.0,11870.0,11580.0,11456.0,11174.0,11365.0,12185.0,12117.0,12190.0,12328.0,12296.0,12381.0,12444.0,12345.0,12256.0,12257.0,12198.0,12072.0,12206.0,12035.0,12050.0,12127.0,12127.0,12138.0,12191.0,12312.0,12385.0,11261.0,11548.0,11740.0,11983.0,12425.0,12491.0,12502.0,12616.0,12555.0,12681.0,12555.0
44,292,Kivihaka,622.0,1088.0,1183.0,1171.0,1182.0,1198.0,1185.0,1230.0,1215.0,1170.0,1126.0,1077.0,1052.0,1008.0,995.0,969.0,976.0,1093.0,1090.0,1078.0,1107.0,1081.0,1012.0,1013.0,1018.0,1019.0,1019.0,983.0,985.0,973.0,960.0,960.0,936.0,915.0,964.0,947.0,939.0,901.0,906.0,917.0,897.0,884.0,877.0,845.0,836.0,820.0,811.0,821.0,821.0,811.0,852.0,881.0,887.0,875.0,896.0,870.0,890.0,913.0,911.0,899.0,859.0,769.0
45,293,Pohjois-Haaga,12297.0,12180.0,11999.0,11714.0,11465.0,11268.0,11240.0,11011.0,10752.0,10478.0,10515.0,10944.0,11952.0,11022.0,10821.0,11064.0,10669.0,11022.0,10947.0,10705.0,10622.0,10431.0,10250.0,10106.0,9944.0,9838.0,9640.0,9444.0,9275.0,9099.0,8960.0,8900.0,8810.0,8712.0,8806.0,8927.0,8869.0,8816.0,8768.0,8699.0,8768.0,8671.0,8588.0,8466.0,8537.0,8691.0,8689.0,8694.0,8724.0,9075.0,9333.0,9197.0,9273.0,9469.0,9450.0,9610.0,9672.0,9621.0,9641.0,9616.0,9439.0,9180.0
